Ethnicity	Applications	Offers
White	26200	7227
Arab	166	24
AsainorAsainBritish-Bangaldeshi	272	35
AsainorAsainBritish-Indain	1541	246
AsainorAsainBritish-Pakistani	539	56
OtherAsainbackground	692	100
BalckorBalckBritsih-African	702	109
BalckorBalckBritsih-Carbibean	124	31
OtherBalckbackground	43	7
Chniese	691	131
Mxied-White&Asain	1090	295
Mxied-White&BalckAfrican	189	50
Mxied-White&BalckCarbibean	225	53
OtherMxiedbackground	479	120
OtherEthnicbackground	257	37
refused/Notknown	2127	230
		
3-year averages 2014 – 2016		
