Ethnic Group	Age 10 to 14
All categories: Ethnic group	3258677
White: Total	2645470
English/Welsh/Scottish/Northern Irish/British	2536018
Irish	10100
Gypsy or Irish Traveller	5702
Other White	93650
Mixed/multiple ethnic group: Total	141390
White and Black Caribbean	55325
White and Black African	18091
White and Asian	38897
Other Mixed	29077
Asian/Asian British: Total	290690
Indian	75243
Pakistani	101631
Bangladeshi	45014
Chinese	14775
Other Asian	54027
Black/African/Caribbean/Black British: Total	145649
African	81626
Caribbean	35071
Other Black	28952
Other ethnic group: Total	35478
Arab	15812
Any other ethnic group	19666
