Ethnicity,Ethnicity_type,Numerator ,Denominator,Value
Unmatched,Unmatched,10273,40203,25.6
Any other ethnic group,Ethnicities used by the National Pupil Database (19),331,2975,11.1
Asian Other,Ethnicities used by the National Pupil Database (19),447,3789,11.8
Bangladeshi,Ethnicities used by the National Pupil Database (19),212,3396,6.2
Indian,Ethnicities used by the National Pupil Database (19),1052,7702,13.7
Pakistani,Ethnicities used by the National Pupil Database (19),416,6210,6.7
Black African,Ethnicities used by the National Pupil Database (19),345,6582,5.2
Black Caribbean,Ethnicities used by the National Pupil Database (19),62,1961,3.2
Black Other,Ethnicities used by the National Pupil Database (19),42,914,4.6
Chinese,Ethnicities used by the National Pupil Database (19),347,1450,23.9
Mixed Other,Ethnicities used by the National Pupil Database (19),382,3169,12.1
Mixed White/Asian,Ethnicities used by the National Pupil Database (19),305,2155,14.2
Mixed White/Black African,Ethnicities used by the National Pupil Database (19),75,875,8.6
Mixed White/Black Caribbean,Ethnicities used by the National Pupil Database (19),125,1817,6.9
Unclassified,Ethnicities used by the National Pupil Database (19),252,1883,13.4
White British,Ethnicities used by the National Pupil Database (19),14207,132462,10.7
White Gypsy/Roma,Ethnicities used by the National Pupil Database (19),0,17,0
White Irish,Ethnicities used by the National Pupil Database (19),136,901,15.1
White Irish Traveller,Ethnicities used by the National Pupil Database (19),0,4,0
White Other,Ethnicities used by the National Pupil Database (19),794,7267,10.9
White,White/Mixed/Asian/Black/Chinese,15137,140651,10.8
Mixed,White/Mixed/Asian/Black/Chinese,887,8016,11.1
Asian,White/Mixed/Asian/Black/Chinese,2127,21097,10.1
Black,White/Mixed/Asian/Black/Chinese,449,9457,4.7
Chinese,White/Mixed/Asian/Black/Chinese,347,1450,23.9
